"mz","rt","DDB1_MeOH_1","DDB1_MeOH_2","DDB1_MeOH_3","DDB1_PL1ABC06_1","DDB1_PL1ABC06_2","DDB1_PL1ABC06_3","STD200nM_PL1ABC06_1","STD200nM_PL1ABC06_2","STD200nM_PL1ABC06_3","WDR91_PL1ABC06_1","WDR91_PL1ABC06_2","WDR91_PL1ABC06_3","PrimaryIso","ChemicalID","ID","SMILES","Adducts","LOGP","formula","mserror","SGC ID for Component","SGC ID for Pool","Truncated_mass","mz_value_pos","rt1","rt2","rt3","peak_type","retention_times","MS2"
241.108444213867,1.75668333333333,3000,3000,3000,3000,3000,3000,9803817,10289989,10802553,3000,3000,3000,241.108444213867,"PL1ABC06","2123","NC=1C=CC(CNC2=NC=3C=CC=CC3O2)=CN1","[M+H]+","0;-0.101","C13H12N4O",NA,"Z1888553424",NA,241.10844,242.115729213867,1.76915,1.75841666666667,1.7799,"single peak","nd","53.0386276245117,6590.595703125;54.4243583679199,3692.857421875;55.0290985107422,4118.47705078125;55.0541915893555,66958.765625;56.0494689941406,14044.4306640625;65.3708267211914,3723.72192382812;72.6535186767578,3519.53369140625;73.7314071655273,3702.09326171875;75.5355682373047,4326.4189453125;75.9851455688477,3817.92626953125;80.0493850708008,49584.0703125;81.057373046875,12480.876953125;83.0855026245117,56390.765625;84.0445251464844,5660.45947265625;90.8319931030273,3866.39868164062;101.070922851562,11143.54296875;105.044799804688,5357.580078125;107.060218811035,6351566.5;108.057556152344,20390.76171875;108.063323974609,244861.09375;108.06812286377,800927.5;109.052513122559,4002.40942382812;109.065948486328,8681.5107421875;109.070899963379,41970.4765625;122.071662902832,6414.1474609375;123.060195922852,7773.2333984375;129.025650024414,5046.34765625;132.055389404297,29474.0078125;133.063873291016,21724.71484375;134.071090698242,17998.099609375;135.055160522461,289671.03125;136.058609008789,20083.265625;137.039840698242,7439.44677734375;147.066009521484,5172.701171875;148.036682128906,6154.43212890625;148.074691772461,4881.0107421875;154.06103515625,159187.203125;155.064743041992,8365.525390625;163.047790527344,15403.73828125;164.042190551758,9223.6953125;169.044174194336,26944.009765625;170.05241394043,45250.0390625;171.05500793457,6604.53564453125;171.092178344727,4242.21484375;172.993591308594,4850.8662109375;176.106216430664,8462.9580078125;184.761535644531,4331.66064453125;187.278289794922,5500.869140625;188.043685913086,6410.14453125;188.062133789062,7165.7021484375;190.058517456055,1501434.75;191.062454223633,105565.5;192.065200805664,4720.6708984375;196.086959838867,5362.59521484375;216.074157714844,60005.234375;224.081893920898,43421.42578125;227.9765625,4476.34130859375"
255.130554199219,1.40117,1616.4501953125,1402.39807128906,3000,3000,3000,3000,3450786.75,3650353.75,3419207.25,3000,3000,3000,255.130554199219,"PL1ABC06","2064","CNCC1CCN(C1)C(=O)C=2C(F)=CC=CC2F","[M+H]+","0;0.507","C13H16F2N2O",NA,"Z1457018693",NA,255.13055,256.137839199219,1.40335333333333,1.39112,1.41558666666667,"single peak","nd","70.0650787353516,16701.068359375;98.0960693359375,14684.263671875;116.10661315918,13968.5361328125;141.014572143555,583787.8125;142.017791748047,38542.01953125;154.046356201172,3506.498046875;170.040969848633,7611.64013671875;177.102188110352,8748.5888671875;206.077423095703,8371.7197265625;212.088180541992,7348.0927734375;224.088272094727,35806.06640625;235.944900512695,6841.98046875;237.119705200195,38842.45703125"
255.14936319987,2.54765,15021.2275390625,13024.1015625,3000,2387.40966796875,7415.623046875,3000,30194944,21430312,26547238,14125.2958984375,25821.8125,3000,255.14936319987,"PL1ABC06","2265","CC(C)C=1C=CC=C(C)C1NC(=O)C=2C=CC=CN2","[M+H]+","0;1.508","C16H18N2O",NA,"Z26401578",NA,255.14936,256.15664819987,2.54765,2.53695,2.55835,"single peak","nd","55.5262413024902,4964.28271484375;68.4079513549805,5510.4482421875;69.5780944824219,4654.8603515625;78.0307159423828,30384.662109375;78.0337295532227,120152.75;78.0368881225586,13339.8408203125;79.0378570556641,4985.0205078125;80.0494003295898,1198035.125;81.052734375,62310.1875;81.0697860717773,103007.4375;89.483024597168,4415.33447265625;94.065185546875,6466.71533203125;96.0442428588867,3181713.25;97.0420761108398,11054.2470703125;97.0475616455078,156992.1875;106.023132324219,12094.681640625;106.028434753418,137863.53125;106.065559387207,4657.509765625;111.038352966309,16427.53515625;111.961532592773,4776.71728515625;124.039131164551,1944332.125;125.035751342773,6909.02001953125;125.042457580566,133340.1875;133.10124206543,22944.9609375;134.060760498047,5525.67919921875;134.09700012207,9232.279296875;138.054763793945,66683.34375;140.143585205078,20388.408203125;144.08088684082,18162.2109375;145.088424682617,6180.0849609375;148.111923217773,9882.61328125;151.112442016602,4819.978515625;157.088363647461,4536.62109375;158.096267700195,1546739;159.099761962891,173161.140625;167.073303222656,6569.6318359375;168.080917358398,48194.41796875;169.241302490234,4934.732421875;178.050857543945,5090.810546875;183.092010498047,7562.3095703125;194.083831787109,37616.14453125;195.09147644043,4732756;196.095016479492,645018.375;196.940902709961,10480.75;197.097915649414,36574.72265625;207.987106323242,5513.54931640625;210.989028930664,4571.8720703125;212.094177246094,5422.96337890625;213.102035522461,6337769;214.105499267578,865522.0625;215.108673095703,53119.39453125;218.023223876953,6991.66552734375;219.560653686523,5616.234375;222.11360168457,9479.25;227.024017333984,15643.20703125;230.000869750977,6450.92724609375;230.582748413086,11596.2998046875;235.123382568359,8788.1005859375;237.138442993164,701876.6875;238.142120361328,109216.8046875;245.108444213867,8083.3056640625;245.1484375,7042.08203125"
260.150604248047,0.720525,1519.53747558594,3000,1617.65283203125,1673.91442871094,1381.41650390625,3000,3230139.75,3025227.75,3194801.75,1724.37524414062,1461.57104492188,1772.36633300781,260.150604248047,"PL1ABC06","2053","CN1CCOC2CN(CC21)C=3N=CN=C4NC=CC34","[M+H]+","0;-0.373","C13H17N5O",NA,"Z1419974189",NA,260.1506,261.157889248047,0.720525,0.708326666666667,0.696126666666667,"single peak","0.720525","58.0650825500488,18929.625;70.0651321411133,20200.08203125;76.0756530761719,8764.8525390625;82.0651168823242,20495.974609375;93.0445785522461,19392.9609375;112.075584411621,21744.6328125;126.091262817383,48269.609375;135.06640625,25469.505859375;147.06640625,94759.203125;159.066482543945,24577.01171875;161.082229614258,28550.57421875;173.082107543945,27446.380859375;185.081985473633,506900.75;186.085861206055,54320.5078125"
261.134653727214,2.38533333333333,3000,3000,3000,3000,3000,3000,10234844,10960431,10617913,3000,3000,3000,261.134653727214,"PL1ABC06","2183","CCOC1(CCCC1)C2=NC(=NO2)C=3C=CN=CN3","[M+H]+","0;0.302","C13H16N4O2",NA,"Z2160166722",NA,261.13465,262.141938727214,2.38795,2.39855,2.40926666666667,"single peak","nd","67.0541763305664,438454.03125;68.0575637817383,22316.03125;83.954948425293,3725.95849609375;85.0646896362305,1573645.5;86.0680160522461,86047.8515625;94.0650253295898,77273.609375;95.0490341186523,233689.28125;96.0522689819336,16223.1337890625;98.6750946044922,4330.49658203125;106.039962768555,6303.93994140625;113.095932006836,3558947.75;114.099281311035,264416.9375;115.10245513916,6260.693359375;118.573509216309,4182.76025390625;121.051010131836,9045.9541015625;121.08863067627,10076.8271484375;122.034934997559,20657.41015625;128.803909301758,3902.76489257812;136.878494262695,4473.16162109375;142.065780639648,4447.32861328125;143.105987548828,6136.31103515625;144.080627441406,22479.8828125;146.975723266602,4720.53955078125;148.075958251953,7153.87939453125;149.045745849609,32462.873046875;150.054809570312,1366159;152.521530151367,3973.01440429688;153.04475402832,4686.541015625;168.065368652344,1373205.75;170.069976806641,4433.1826171875;179.934814453125,5199.10888671875;182.0810546875,160854.21875;188.118392944336,5792.4296875;202.068893432617,4472.73681640625;202.909057617188,6299.7734375;208.143539428711,4895.0947265625;214.088455200195,9062.5537109375;214.216567993164,6349.50927734375;215.092544555664,872732.3125;216.09619140625,119851;219.149780273438,5147.4072265625;220.030822753906,6877.79541015625;226.180541992188,10874.9794921875;228.01676940918,42309.66796875;228.517440795898,14747.939453125;229.039260864258,3916.2431640625;234.956008911133,4687.3662109375;238.110687255859,9499.033203125;244.029830932617,12466.8935546875;246.051895141602,6499.751953125"
262.155232747396,2.21633333333333,1309.23718261719,1312.68273925781,1206.87353515625,3000,3000,3000,5389835.5,5050065,5536812,3000,3000,3000,262.155232747396,"PL1ABC06","2379","CCNC(=O)CNC(=O)NC=1C=CC=2CCCC2C1","[M+H]+","0;0.644","C14H19N3O2",NA,"Z410531740",NA,262.15523,263.162517747396,2.22883333333333,2.21821666666667,2.23941666666667,"single peak","nd","65.184196472168,3324.32373046875;67.0903167724609,4094.07763671875;75.9455032348633,4624.8828125;79.557014465332,3302.755859375;86.0602188110352,7644.62255859375;95.7432174682617,3546.57690429688;103.086456298828,3167127.75;104.083541870117,22278.697265625;104.089637756348,129582.6875;105.091178894043,3729.95361328125;127.972694396973,3850.15209960938;129.065704345703,53614.21484375;132.080841064453,25571.501953125;133.063537597656,28775.265625;134.096343994141,70955.453125;135.09977722168,5809.59375;137.041046142578,9860.373046875;153.99446105957,4402.4912109375;156.010223388672,3625.267578125;158.958679199219,4113.20849609375;159.067794799805,7339.23974609375;160.075607299805,9259.150390625;167.974578857422,4891.97265625;181.990036010742,4440.748046875;189.10205078125,66410.5546875;190.10530090332,9332.185546875;200.893829345703,4226.615234375;217.097061157227,231794.453125;218.100921630859,29604.458984375;221.032958984375,4165.52587890625;229.07893371582,7328.9521484375;230.520202636719,20869.826171875;231.021133422852,7301.38623046875;234.06965637207,26504.318359375;234.106353759766,6271.99462890625;237.106063842773,6270.35546875;251.071685791016,8220.4638671875;252.042816162109,4434.6396484375"
263.117940266927,2.50295,3000,3000,3000,3000,11094.38671875,7897.39208984375,43586256,46683348,48961432,3000,10938.0927734375,11099.05859375,263.117940266927,"PL1ABC06","2437","CC=1C=CC(NC(=O)C=2C=CC=3C=CC=CC3C2)=NC1","[M+H]+","0;1.923","C17H14N2O",NA,"Z59421177",NA,263.11794,264.125225266927,2.50496666666667,2.49435,2.51561666666667,"single peak","nd","51.0234794616699,5034.82568359375;56.5450630187988,5505.26904296875;61.8435287475586,5328.61474609375;62.6695137023926,5967.404296875;63.4678535461426,6164.00146484375;65.0385589599609,149656.734375;66.0419311523438,10624.4677734375;92.0450668334961,15745.94921875;92.0493774414062,238266.265625;92.0541458129883,12943.634765625;93.0529327392578,16054.0048828125;95.0129928588867,7366.669921875;110.059860229492,3132708.75;111.057090759277,12883.63671875;111.063117980957,199462.8125;112.065269470215,6660.5732421875;124.075561523438,70869.4296875;127.046592712402,17393.95703125;127.053939819336,350013.40625;128.05712890625,42816.6484375;129.069564819336,12657.416015625;135.05517578125,219836;136.058471679688,19088.419921875;144.056579589844,17629.111328125;145.064651489258,706432;146.06819152832,85396.9140625;154.065048217773,29974.30078125;155.049118041992,10086823;155.059295654297,932374.6875;156.052398681641,1209520.75;156.063201904297,109514.7265625;157.014389038086,7235.68798828125;157.05485534668,69203.3828125;159.081008911133,7958.32861328125;171.012481689453,42470.14453125;212.968811035156,15194.6513671875;213.023635864258,29716.93359375;219.606246948242,19932.962890625;227.590713500977,26391.658203125;228.09440612793,16785.3515625;244.100860595703,9791.875;245.106948852539,6218691.5;246.110443115234,1201239.125;247.114013671875,100367.09375"
267.150502522786,2.27923333333333,3000,3000,3000,3000,3000,3000,19768178,21006194,19523394,3000,3000,3000,267.150502522786,"PL1ABC06","2393","COC=1C=CC(NC(=O)N2CCCCCC2)=CC1F","[M+H]+","0;1.755","C14H19FN2O2",NA,"Z435731634",NA,267.1505,268.157787522786,2.29236666666667,2.28178333333333,2.30295,"single peak","2.27923333333333","50.9012260437012,3099.01977539062;53.0385131835938,63046.65234375;54.2288627624512,3334.93212890625;55.0541687011719,1172699.75;56.0575180053711,51388.8203125;58.9949913024902,17759.482421875;70.065071105957,111190.90625;71.0685195922852,4020.478515625;72.8550643920898,3268.42993164062;72.934196472168,3284.71923828125;81.0697937011719,227502.6875;82.0731353759766,13842.185546875;83.0490951538086,34855.5546875;83.0854187011719,617028.5;84.0887756347656,40783.4453125;85.0106048583984,17920.923828125;85.8298873901367,3247.18676757812;87.0261840820312,7474.90625;88.0391845703125,5254.052734375;96.0807723999023,7638.98828125;97.0645904541016,18167.1171875;98.0962753295898,486191.53125;99.0996704101562,25864.96484375;100.111907958984,2047691.625;101.109573364258,5179.07421875;101.115196228027,126505.359375;103.054046630859,172498.703125;104.049476623535,14144.2001953125;104.057319641113,13308.7744140625;108.080749511719,5685.880859375;115.032264709473,1097428.875;116.029769897461,8034.86962890625;116.035758972168,28805.5234375;123.060287475586,1951767.75;124.063629150391,147835.28125;125.066764831543,4793.11572265625;126.091156005859,1838688.125;127.050010681152,57355.03125;127.094573974609,131323.46875;128.096710205078,4245.716796875;130.028625488281,66308.9296875;131.987808227539,6866.431640625;140.050399780273,111982.5390625;141.053649902344,9955.728515625;147.05517578125,371111.03125;148.058670043945,31766.365234375;158.038345336914,10548.0126953125;160.990463256836,4011.15625;163.074996948242,10928.431640625;166.969940185547,4691.79296875;168.046020507812,29420.904296875;169.030517578125,14879.7958984375;176.106491088867,9644.6708984375;180.047698974609,6253.59765625;182.408096313477,3647.80688476562;202.010925292969,21845.091796875;213.056106567383,4443.85107421875;236.161926269531,16002.42578125;238.1005859375,1395353.25;239.103988647461,140854.9375;240.009796142578,3851.52294921875;246.016616821289,7656.85986328125;247.03271484375,3626.052734375;249.016555786133,4186.251953125;252.128021240234,5171.7568359375;254.006134033203,12185.7265625;256.047271728516,4253.5537109375"
269.108612060547,2.27923333333333,7260.26171875,1460.70544433594,3000,1427.43273925781,1283.87536621094,3000,1993642.75,2143301.25,1914712.625,3000,3000,2720.46435546875,269.108612060547,"PL1ABC06","2267","CC(NC(=O)C=1C=CC(C#N)=CC1)C=2C=CC(F)=CC2","[M+H]+","0;0.881","C16H13FN2O",NA,"Z26615426",NA,269.10861,270.115897060547,2.28178333333333,2.29236666666667,2.30295,"single peak","nd","50.9012260437012,3099.01977539062;53.0385131835938,63046.65234375;54.2288627624512,3334.93212890625;55.0541687011719,1172699.75;56.0575180053711,51388.8203125;58.9949913024902,17759.482421875;70.065071105957,111190.90625;71.0685195922852,4020.478515625;72.8550643920898,3268.42993164062;72.934196472168,3284.71923828125;81.0697937011719,227502.6875;82.0731353759766,13842.185546875;83.0490951538086,34855.5546875;83.0854187011719,617028.5;84.0887756347656,40783.4453125;85.0106048583984,17920.923828125;85.8298873901367,3247.18676757812;87.0261840820312,7474.90625;88.0391845703125,5254.052734375;96.0807723999023,7638.98828125;97.0645904541016,18167.1171875;98.0962753295898,486191.53125;99.0996704101562,25864.96484375;100.111907958984,2047691.625;101.109573364258,5179.07421875;101.115196228027,126505.359375;103.054046630859,172498.703125;104.049476623535,14144.2001953125;104.057319641113,13308.7744140625;108.080749511719,5685.880859375;115.032264709473,1097428.875;116.029769897461,8034.86962890625;116.035758972168,28805.5234375;123.060287475586,1951767.75;124.063629150391,147835.28125;125.066764831543,4793.11572265625;126.091156005859,1838688.125;127.050010681152,57355.03125;127.094573974609,131323.46875;128.096710205078,4245.716796875;130.028625488281,66308.9296875;131.987808227539,6866.431640625;140.050399780273,111982.5390625;141.053649902344,9955.728515625;147.05517578125,371111.03125;148.058670043945,31766.365234375;158.038345336914,10548.0126953125;160.990463256836,4011.15625;163.074996948242,10928.431640625;166.969940185547,4691.79296875;168.046020507812,29420.904296875;169.030517578125,14879.7958984375;176.106491088867,9644.6708984375;178.133605957031,15405.7744140625;180.047698974609,6253.59765625;182.408096313477,3647.80688476562;202.010925292969,21845.091796875;213.056106567383,4443.85107421875;236.161926269531,16002.42578125;238.1005859375,1395353.25;239.103988647461,140854.9375;240.009796142578,3851.52294921875;246.016616821289,7656.85986328125;247.03271484375,3626.052734375;249.016555786133,4186.251953125;252.128021240234,5171.7568359375;254.006134033203,12185.7265625;256.047271728516,4253.5537109375;258.075744628906,6372.34326171875;258.12255859375,13370.423828125;259.092498779297,32313.27734375"
270.09087117513,1.79911666666667,3000,1527.76733398438,3000,3000,1835.47485351562,2311.09448242188,3210416.75,3602192.75,3565211.75,2046.53601074219,3000,1651.48291015625,270.09087117513,"PL1ABC06","2366","CC1CN(CCO1)C(=O)C2=CSC(NC(=O)C)=N2","[M+H]+","0;-0.221","C11H15N3O3S",NA,"Z383076658",NA,270.09087,271.09815617513,1.8122,1.80143333333333,1.82296666666667,"single peak","nd","54.6742744445801,3584.58227539062;56.4945449829102,3464.75048828125;58.3569450378418,3273.73779296875;63.938549041748,3711.12524414062;65.4818267822266,3258.14111328125;77.62109375,3465.37353515625;92.1983795166016,3583.19775390625;99.0010299682617,3897.65356445312;120.081008911133,6101.33203125;124.886413574219,3727.375;126.995895385742,71377.890625;127.999336242676,4179.31640625;145.006576538086,331325.34375;146.0107421875,8626.0478515625;147.964431762695,4398.19580078125;149.071258544922,5633.73681640625;151.969711303711,4688.4990234375;152.056655883789,4100.59326171875;159.022369384766,3897.26440429688;166.031768798828,10480.8896484375;167.015670776367,7393.8271484375;169.006256103516,42906.26171875;169.016342163086,4405.8193359375;180.985305786133,4700.833984375;183.013320922852,3559.5712890625;184.042434692383,31859.529296875;187.017105102539,648143.6875;188.0205078125,35965.578125;201.033004760742,13902.625;201.068862915039,39080.88671875;202.072036743164,4765.005859375;212.048736572266,169422.890625;213.033004760742,16777.93359375;213.05207824707,21740.064453125;228.080184936523,87510.546875;229.08219909668,4483.58837890625;241.063217163086,7495.06640625;258.090759277344,106402.3203125;259.093811035156,14262.822265625"
